Hi.,Salut!
You let me down.,Vous m'avez déçu.
You lied to Tom.,Vous avez menti à Tom.
You lied to Tom.,Tu as menti à Tom.
You look gloomy.,Tu as l'air triste.
You look gloomy.,Vous avez l'air triste.
You look strong.,Tu as l'air fort.
You look stupid.,T'as l'air stupide.
You look stupid.,Tu as l'air stupide.
You look stupid.,Tu as l'air bête.
You lucky devil!,Sacré veinard !
You made my day.,Vous m'avez réjoui.
You made my day.,Tu m'as réjoui.
You made my day.,Vous m'avez réjouie.
You made my day.,Tu m'as réjouie.
You mustn't lie.,Tu ne dois pas mentir.
You nearly died.,Tu es presque mort.
You nearly died.,Vous êtes presque mort.
You nearly died.,Vous êtes presque morte.
You nearly died.,Vous êtes presque morts.
You nearly died.,Vous êtes presque mortes.
You nearly died.,Tu es presque morte.
You should stay.,Tu devais séjourner.
You should stop.,Vous devriez y mettre un terme.
You should stop.,Tu devrais y mettre un terme.
You smell awful.,Tu sens terriblement.
You sound angry.,Tu as l'air en colère.
You sound angry.,Vous avez l'air en colère.
You sound tired.,Tu as l'air fatigué.
You sound tired.,Tu sembles fatigué.
You sound tired.,Tu parais fatigué.
You sound tired.,Tu parais fatiguée.
You sound tired.,Vous paraissez fatigué.
You sound tired.,Vous paraissez fatiguée.
You sound tired.,Vous paraissez fatigués.
You sound tired.,Vous paraissez fatiguées.
You startled me!,Tu m'as abasourdi !
You will listen.,Tu vas écouter.
You work for me.,Vous travaillez pour moi.
You'd better go.,Il vaut mieux que vous y alliez.
You'd better go.,Il vaut mieux que tu y ailles.
You're a menace.,Tu es une menace.
You're a menace.,Vous êtes une menace.
You're a winner.,T'es un gagneur.
You're adorable.,Tu es adorable.
You're adorable.,Vous êtes adorable.
You're adorable.,Vous êtes adorables.
You're after me.,Tu es après moi.
You're all done.,Vous êtes tous finis.
You're all done.,Vous êtes toutes finies.
You're all mine.,Vous êtes tous à moi.
You're all mine.,Vous êtes toutes à moi.
You're an angel.,Tu es un ange.
You're an idiot.,Tu es un idiot.
You're annoying.,T'es chiant.
You're annoying.,Tu m'ennuies.
You're annoying.,Tu es chiant.
You're annoying.,Tu es chiante.
You're arrogant.,Tu es arrogant.
You're arrogant.,Tu es arrogante.
You're arrogant.,Vous êtes arrogant.
You're arrogant.,Vous êtes arrogante.
You're arrogant.,Vous êtes arrogants.
You're arrogant.,Vous êtes arrogantes.
You're blushing.,Tu rougis !
You're careless.,Tu es négligent.
You're careless.,Tu es négligente.
You're charming.,Tu es charmant.
You're charming.,Tu es charmante.
You're charming.,Vous êtes charmant.
You're charming.,Vous êtes charmante.
You're charming.,Vous êtes charmantes.
You're charming.,Vous êtes charmants.
You're cheating.,Tu triches.
You're cheating.,Vous trichez.
You're confused.,Tu es confus.
You're confused.,Tu t'embrouilles.
You're creative.,Tu es créatif.
You're creative.,Tu es créative.
You're creative.,Vous êtes créatif.
You're creative.,Vous êtes créative.
You're creative.,Vous êtes créatifs.
You're creative.,Vous êtes créatives.
You're demented.,Tu es fou.
You're demented.,Vous êtes fous.
You're demented.,Vous êtes dément.
You're disloyal.,Vous êtes déloyal.
You're disloyal.,Tu es déloyal.
You're disloyal.,Tu es déloyale.
You're disloyal.,Vous êtes déloyales.
You're disloyal.,Vous êtes déloyale.
You're disloyal.,Vous êtes déloyaux.
You're faithful.,Tu es fidèle.
You're faithful.,Vous êtes fidèle.
You're faithful.,Vous êtes fidèles.
You're fearless.,Tu es intrépide.
You're fearless.,Vous êtes intrépide.
You're fearless.,Vous êtes intrépides.
You're forgiven.,Tu es excusé.
You're forgiven.,Tu es pardonné.
You're forgiven.,Tu es pardonnée.
You're forgiven.,Vous êtes pardonné.
You're forgiven.,Vous êtes pardonnée.
You're forgiven.,Vous êtes pardonnés.
You're forgiven.,Vous êtes pardonnées.
You're grounded.,Tu es terre-à-terre.
You're grounded.,Vous êtes terre-à-terre.
You're hopeless.,Tu es incorrigible.
You're horrible.,Vous êtes hideuses.
You're horrible.,Vous êtes hideux.
You're innocent.,Tu es innocent.
You're innocent.,Tu es innocente.
You're innocent.,Vous êtes innocent.
You're innocent.,Vous êtes innocente.
You're innocent.,Vous êtes innocents.
You're innocent.,Vous êtes innocentes.
You're mistaken.,Vous vous trompez.
You're mistaken.,Tu te trompes.
You're my enemy.,Tu es mon ennemi.
You're my enemy.,Vous êtes mon ennemi.
You're no saint.,Tu n'es pas un saint.
You're no saint.,Tu n'es pas une sainte.
You're no saint.,Vous n'êtes pas un saint.
You're no saint.,Vous n'êtes pas une sainte.
You're not dead.,Tu n'es pas mort.
You're not dead.,Tu n'es pas morte.
You're not dead.,Vous n'êtes pas mort.
You're not dead.,Vous n'êtes pas morte.
You're not dead.,Vous n'êtes pas morts.
You're not dead.,Vous n'êtes pas mortes.
You're not late.,Tu n'es pas en retard.
You're not late.,Vous n'êtes pas en retard.
You're not sick.,Tu n'es pas malade.
You're not sick.,Vous n'êtes pas malade.
You're not sick.,Vous n'êtes pas malades.
You're outgoing.,Tu es sociable.
You're pathetic.,Tu es pathétique.
You're pathetic.,Vous êtes pathétique.
You're pathetic.,Vous êtes pathétiques.
You're powerful.,Tu es puissant.
You're powerful.,Vous êtes puissant.
You're powerful.,Vous êtes puissants.
You're powerful.,Vous êtes puissante.
You're powerful.,Vous êtes puissantes.
You're punctual.,Tu es ponctuel.
You're punctual.,Tu es ponctuelle.
You're reliable.,Tu es fiable.
You're reliable.,Vous êtes fiable.
You're reliable.,Vous êtes fiables.
You're restless.,Tu es agité.
You're restless.,Tu es agitée.
You're ruthless.,Tu es sans pitié.
You're ruthless.,Vous êtes sans pitié.
You're safe now.,Tu es désormais en sécurité.
You're safe now.,Vous êtes désormais en sécurité.
You're so bossy.,Vous êtes tellement autoritaire !
You're so bossy.,Tu es tellement autoritaire !
You're so naive.,Tu es si naïf.
You're so naive.,Tu es si naïve.
You're so naive.,Vous êtes si naïf.
You're so naive.,Vous êtes si naïve.
You're so picky.,Tu es tellement difficile !
You're so picky.,Vous êtes tellement difficile !
You're so picky.,Vous êtes tellement difficiles !
You're so sweet.,Tu es tellement gentil !
You're so sweet.,Tu es tellement gentille !
You're so sweet.,Tu es si gentil !
You're so sweet.,Tu es si gentille !
You're so sweet.,Vous êtes tellement gentil !
You're so sweet.,Vous êtes si gentil !
You're so sweet.,Vous êtes tellement gentille !
You're so sweet.,Vous êtes si gentille !
You're so sweet.,Vous êtes tellement gentils !
You're so sweet.,Vous êtes si gentils !
You're so sweet.,Vous êtes tellement gentilles !
You're so sweet.,Vous êtes si gentilles !
You're so weird.,Tu es si bizarre.
You're so wrong.,Tu as tellement tort.
You're so wrong.,Vous avez tellement tort.
You're stalling.,Tu temporises.
You're stalling.,Vous temporisez.
You're stubborn.,Tu es entêté.
You're stubborn.,Tu es entêtée.
You're talented.,Vous êtes talentueux.
You're talented.,Vous êtes talentueuse.
You're talented.,Vous êtes talentueuses.
You're talented.,Tu es talentueux.
You're talented.,Tu es talentueuse.
You're the best.,Tu es le meilleur.
You're the best.,Tu es la meilleure.
You're the best.,Vous êtes le meilleur.
You're the best.,Vous êtes la meilleure.
You're the boss.,Vous êtes le chef.
You're to blame.,Vous êtes responsable.
You're to blame.,Vous êtes responsables.
You're too loud.,Vous êtes trop bruyant.
You're too loud.,Vous êtes trop bruyante.
You're too loud.,Vous êtes trop bruyants.
You're too loud.,Vous êtes trop bruyantes.
You're too loud.,Tu es trop bruyant.
You're too loud.,Tu es trop bruyante.
You're too slow.,Vous êtes trop lent.
You're too slow.,Vous êtes trop lente.
You're too slow.,Vous êtes trop lents.
You're too slow.,Vous êtes trop lentes.
You're too slow.,Tu es trop lent.
You're too slow.,Tu es trop lente.
You're too tall.,Vous êtes trop grand.
You're too weak.,Tu es trop faible.
You're unbiased.,Vous êtes impartial.
You're up early.,Tu es débout tôt.
You're very shy.,Tu es très timide.
You're very shy.,Vous êtes très timide.
You're very shy.,Vous êtes très timides.
You're very shy.,Vous êtes fort timide.
You've been had.,Tu t'es fait avoir.
You've been had.,Vous vous êtes fait avoir.
You've found it.,Tu l'as trouvé.
You've found it.,Tu l'as trouvée.
You've found it.,Vous l'avez trouvé.
You've found it.,Vous l'avez trouvée.
Your cat is fat.,Ton chat est gros.
Your cat is fat.,Ton chat est gras.
Your cat is fat.,Ta chatte est grosse.
Your cat is fat.,Ta chatte est grasse.
Your cat is fat.,Votre chatte est grosse.
Your cat is fat.,Votre chatte est grasse.
Your time is up.,Votre temps est écoulé.
Your time is up.,Ton temps est écoulé.
Yours is better.,Le vôtre est meilleur.
Yours is better.,La vôtre est meilleure.
Yours is better.,Le tien est meilleur.
Yours is better.,La tienne est meilleure.
5 is less than 8.,Cinq est plus petit que huit.
"Look she said.",Elle a dit : « Regarde. »
A bird has wings.,Un oiseau a des ailes.
A cab is waiting.,Un taxi est en train d'attendre.
A cop was killed.,Un policier a été tué.
A cop was killed.,Un flic a été tué.
A deal is a deal.,Un accord est un accord.
A dog is barking.,Un chien aboie.
A dog is barking.,Un chien est en train d'aboyer.
A fuse has blown.,Un plomb a sauté.
A fuse has blown.,Un fusible a sauté.
A fuse has blown.,Un fusible a fondu.
A girl phoned me.,Une fille m'a téléphoné.
Accidents happen.,Les accidents surviennent.
Accidents happen.,Des accidents surviennent.
Air is invisible.,L'air est invisible.
All are welcomed.,Tous sont bienvenus.
All are welcomed.,Toutes sont bienvenues.
All hope is gone.,Tout espoir a disparu.
All men must die.,Tous les hommes doivent mourir.
All of them died.,Tous moururent.
All of them died.,Toutes moururent.
All of them died.,Tous sont morts.
All of them died.,Toutes sont mortes.
Answer the phone.,Répondez au téléphone !
Any book will do.,N'importe quel livre fera l'affaire.
Anybody knows it.,Tout le monde le sait.
Anyone can do it.,Tout le monde peut le faire.
Are they friends?,Sont-ils amis ?
Are they friends?,Sont-ils amis ?
Are they friends?,Sont-elles amies ?
Are they in love?,Sont-ils amoureux ?
Are they in love?,Sont-elles amoureuses ?
Are those for me?,Ceux-ci sont-ils pour moi ?
Are those for me?,Ceux-là sont-ils pour moi ?
Are those for me?,Celles-ci sont-elles pour moi ?
Are those for me?,Celles-là sont-elles pour moi ?
Are we all happy?,Sommes-nous tous satisfaits ?
Are we done here?,"En avons-nous terminé ici ?"
Are we going far?,Allons-nous loin ?
Are we safe here?,Sommes-nous ici en sécurité ?
Are you Catholic?,Es-tu catholique ?
Are you Catholic?,Êtes-vous catholique ?
Are you Catholic?,Êtes-vous catholiques ?
Are you Japanese?,Êtes-vous japonais ?
Are you Japanese?,Êtes-vous japonais ?
Are you Japanese?,Es-tu japonais ?
Are you a doctor?,Es-tu médecin ?
Are you a golfer?,Es-tu golfeur ?
Are you a golfer?,Êtes-vous golfeuse ?
Are you a lawyer?,Êtes-vous avocat ?
Are you a maniac?,Es-tu maniaque ?
Are you a maniac?,Êtes-vous maniaque ?
Are you a racist?,Es-tu raciste ?
Are you a racist?,Êtes-vous raciste ?
Are you a singer?,Es-tu chanteur ?
Are you a typist?,Êtes-vous dactylo ?
Are you a typist?,Es-tu dactylo ?
Are you a wizard?,Es-tu un sorcier ?
Are you a wizard?,Es-tu une sorcière ?
Are you all nuts?,Êtes-vous tous dingues ?
Are you all nuts?,Êtes-vous toutes dingues ?
Are you an idiot?,Êtes-vous idiot ?
Are you an idiot?,Êtes-vous idiote ?
Are you an idiot?,Es-tu idiot ?
Are you an idiot?,Es-tu idiote ?
Are you blushing?,Rougis-tu ?
Are you blushing?,Rougissez-vous ?
Are you brothers?,Êtes-vous frères ?
Are you busy now?,Actuellement êtes-vous occupés ?
Are you busy now?,Es-tu occupé actuellement ?
Are you drinking?,Es-tu en train de boire ?
Are you drinking?,Êtes-vous en train de boire ?
Are you dyslexic?,Êtes-vous dyslexique ?
Are you dyslexic?,Tu es dyslexique ?
Are you finished?,As-tu fini ?
Are you finished?,Avez-vous fini ?
Are you finished?,As-tu terminé ?
Are you finished?,En as-tu fini ?
Are you finished?,En as-tu terminé ?
Are you finished?,Avez-vous terminé ?
Are you finished?,En avez-vous fini ?
Are you finished?,En avez-vous terminé ?
Are you for real?,Existes-tu vraiment ?
Are you for real?,Existez-vous vraiment ?
Are you free now?,"As-tu du temps maintenant ?"
Are you homeless?,Êtes-vous sans abri ?
Are you homeless?,Es-tu un sans-abri ?
Are you in Paris?,T'es à Paname ?
Are you in Paris?,Es-tu à Paris ?
Are you new here?,Êtes-vous nouveau ici ?
Are you new here?,Tu es nouveau ici ?
Are you on crack?,Êtes-vous drogué au crack ?
Are you on crack?,Êtes-vous droguée au crack ?
Are you on crack?,Es-tu drogué au crack ?
Are you on crack?,Es-tu droguée au crack ?
Are you positive?,Es-tu sûr ?
Are you pregnant?,Es-tu enceinte ?
Are you still up?,Êtes-vous toujours debout ?
Are you still up?,Êtes-vous encore debout ?
Are you still up?,Es-tu toujours debout ?
Are you still up?,Es-tu encore debout ?
Are you students?,Êtes-vous étudiants ?
Are you students?,Êtes-vous étudiantes ?
Are you studying?,Étudiez-vous ?
Are you studying?,Étudies-tu ?
Are you two busy?,Êtes-vous tous les deux occupés ?
Aren't you happy?,N'êtes-vous pas heureux ?
Aren't you tired?,N'es-tu pas fatigué ?
Aren't you tired?,N'êtes-vous pas fatigués ?
Ask her her name.,Demande-lui son nom.
Ask her her name.,Demandez-lui son nom.
Ask him his name.,Demande-lui son nom.
Ask him his name.,Demandez-lui son nom.
Ask them to help.,Demande-leur de l'aide.
"At last he came.",Il est enfin venu.
Atlantis is real.,Atlantis est réelle.
Attention please!,"Attention s'il vous plaît!"
Be more flexible.,Sois plus flexible.
Be more flexible.,Sois davantage flexible.
Be more flexible.,Soyez plus flexible.
Be more flexible.,Soyez davantage flexible.
Be more flexible.,Soyez davantage flexibles.
Be more flexible.,Soyez plus flexibles.
Be there tonight.,Sois là ce soir.
Be there tonight.,Sois là cette nuit.
Be there tonight.,Sois ici cette nuit.
Be there tonight.,Sois ici ce soir.
Birds have wings.,Les oiseaux ont des ailes.
Bite your tongue.,Mords-toi la langue !
Bite your tongue.,Mordez-vous la langue !
Bite your tongue.,Tiens ta langue !
Boxing is boring.,La boxe est ennuyante.
Boxing is boring.,Boxer est ennuyant.
Bring me a chair.,Apporte-moi une chaise.
Bring me a chair.,Apportez-moi une chaise.
Bring me a drink.,Apporte-moi une boisson !
Bring me a drink.,Apportez-moi une boisson !
Bring me my cane.,Apportez-moi ma canne.
Bring me my cane.,Apporte-moi ma canne.
Bring them to me.,Apporte-les-moi.
Brush your teeth.,Brossez vos dents.
Brush your teeth.,Brosse tes dents.
Business is slow.,Les affaires n'avancent pas vite.
Call me tomorrow.,Appelle-moi demain.
Can I be excused?,Puis-je être excusé ?
Can I be excused?,Puis-je être excusée ?
Can I be of help?,Puis-je être utile ?
Can I be of help?,Est-ce que je peux aider ?
Can I get a beer?,Puis-je avoir une bière ?
Can I go to work?,Puis-je me rendre au travail ?
Can I have a hug?,Puis-je avoir un câlin ?
Can I have a hug?,Je peux avoir un câlin ?
Can I sleep here?,Puis-je dormir ici ?
Can anyone drive?,Quiconque sait-il conduire ?
Can rabbits swim?,Les lapins savent-ils nager ?
Can this be true?,Cela peut-il être vrai ?
Can we afford it?,En avons-nous les moyens ?
Can we drop this?,Pouvons-nous laisser tomber ceci ?
Can we get a dog?,Est-ce qu'on peut avoir un chien ?
Can we go inside?,Pouvons-nous aller à l'intérieur ?
Can we speak now?,"Pouvons-nous parler maintenant ?"
Can you call him?,Peux-tu l'appeler ?
Can you call him?,Pouvez-vous l'appeler ?
Can you continue?,Peux-tu continuer ?
Can you find out?,Peux-tu te renseigner ?
Can you find out?,Pouvez-vous vous renseigner ?
Can you hurry up?,Peux-tu te dépêcher ?
Can you hurry up?,Pouvez-vous vous dépêcher ?
Can you prove it?,Pouvez-vous le prouver ?
Can you prove it?,Peux-tu le prouver ?
Can you save Tom?,Peux-tu sauver Tom ?
Can you save Tom?,Pouvez-vous sauver Tom ?
Can you spell it?,Pouvez-vous l'épeler ?
Can you spell it?,Peux-tu l'épeler ?
Change is needed.,Du changement est nécessaire.
Check your order.,Vérifiez votre commande.
Choose carefully.,Choisis soigneusement.
Choose carefully.,Choisissez soigneusement.
Choose something.,Choisis quelque chose.
Choose something.,Choisissez quelque chose.
Climb to the top.,Monte au sommet.
Close the blinds.,Fermez les stores.
Close the blinds.,Ferme les stores.
Close the drawer.,Ferme le tiroir.
Close the drawer.,Fermez le tiroir.
Close the window.,Ferme la fenêtre.
Close the window.,Ferme la fenêtre !
Close the window.,Fermez la fenêtre !
Close the window.,Fermez la fenêtre.
Close your books.,Fermez vos livres.
Come and help us.,Venez nous aider.
Come and help us.,Viens nous aider.
Come immediately.,Viens immédiatement !
Come immediately.,Venez immédiatement !
"Come on grow up.","Enfin arrête d'agir comme un gosse !"
"Come on grow up.","Enfin arrêtez d'agir comme des enfants !"
"Come on help me.","Allez aide-moi."
"Come on help me.","Allez aidez-moi."
"Come on tell me.","Allez dis-moi !"
"Come on wake up.","Allez debout !"
Come run with me.,Viens courir avec moi.
Come run with me.,Venez courir avec moi.
Come sit with us.,Viens t'asseoir avec nous.
Come sit with us.,Venez vous asseoir avec nous.
Come with me now.,Venez avec moi maintenant.
Come with me now.,Viens avec moi maintenant.
"Concentrate Tom.","Concentre-toi Tom."
"Concentrate Tom.","Concentrez-vous Tom."
Consult a doctor.,Consulte un médecin !
Continue digging.,Continue de creuser.
Continue working.,Continue à travailler !
Control yourself!,Maîtrise-toi !
Control yourself!,Maîtrisez-vous !
Control yourself.,Maîtrisez-vous.
Control yourself.,Contrôle-toi.
Cookie is my dog.,Biscuit est mon chien.
Could I help you?,Puis-je t'aider ?
Cows supply milk.,Les vaches produisent du lait.
Cows supply milk.,Les vaches donnent du lait.
Cross the bridge.,Traverse le pont.
Cross the street.,Traverse la rue.
Cross the street.,Traversez la rue.
Crying is normal.,Pleurer est normal.
Cut the red wire.,Coupe le fil rouge.
Cut the red wire.,Coupez le fil rouge.
Dial 110 at once.,Téléphonez au 110 immédiatement.
Did I write that?,Ai-je écrit cela ?
Did I write that?,L'ai-je écrit ?
Did Tom go alone?,Tom y est-il allé seul ?
Did Tom say that?,Tom a dit cela ?
Did anyone laugh?,Quiconque a-t-il ri ?
Did he touch you?,T'a-t-il touché ?
Did he touch you?,Vous a-t-il touché ?
Did he touch you?,Vous a-t-il touchée ?
Did he touch you?,T'a-t-il touchée ?
Did she say that?,A-t-elle dit ça ?
Did the dog bark?,Le chien aboyait-il ?
Did they say how?,Ont-ils dit comment ?
Did they say how?,Ont-elles dit comment ?
Did they say why?,Ont-ils dit pourquoi ?
Did they say why?,Ont-elles dit pourquoi ?
Did you find Tom?,Avez-vous trouvé Tom ?
Did you find Tom?,As-tu trouvé Tom ?
Did you have fun?,T'es-tu amusé ?
Did you have fun?,T'es-tu amusée ?
Did you have fun?,Vous êtes-vous amusé ?
Did you have fun?,Vous êtes-vous amusée ?
Did you have fun?,Vous êtes-vous amusées ?
Did you have fun?,Vous êtes-vous amusés ?
Did you kill Tom?,Avez-vous tué Tom ?
Did you kill Tom?,As-tu tué Tom ?
Did you love Tom?,Aimais-tu Tom ?
Did you love Tom?,Aimiez-vous Tom ?
Did you meet her?,Tu l'as rencontrée ?
Did you meet her?,L'as-tu rencontrée ?
Did you phone me?,Est-ce vous qui m'avez appelée ?
Did you see that?,As-tu vu ça ?
Did you see that?,Avez-vous vu ça ?
Did you stop Tom?,As-tu arrêté Tom ?
Did you stop Tom?,Avez-vous arrêté Tom ?
Did you tell Tom?,L'as-tu dit à Tom ?
Did you tell Tom?,L'avez-vous dit à Tom ?
Did you vote yet?,Avez-vous déjà voté ?
Do I smell bacon?,"Est-ce qu'il n'y aurait pas des flics dans le coin ?"
Do as I tell you.,Fais comme je te dis.
Do as I told you.,Fais comme je t'ai dit.
Do as you please.,Faites comme il vous plaira.
Do it delicately.,Fais-le délicatement.
Do it delicately.,Faites-le délicatement.
Do it right away.,Faites-le immédiatement.
Do what you like.,Fais ce que tu aimes.
Do what you want.,Fais ce que tu veux.
Do what you want.,Faites ce que vous voulez.
Do you eat a lot?,Mangez-vous beaucoup ?
Do you eat a lot?,Manges-tu beaucoup ?
Do you even care?,En as-tu même quelque chose à faire ?
Do you feel sick?,Vous ne vous sentez pas bien ?
Do you feel sick?,Te sens-tu malade ?
Do you have beer?,Avez-vous de la bière ?
Do you have them?,Les avez-vous ?
Do you have them?,Tu les as ?
Do you have time?,Est-ce que tu as le temps ?
Do you have time?,Est-ce que vous avez le temps ?
Do you have time?,As-tu un peu de temps ?
Do you hear that?,Entendez-vous cela ?
Do you know them?,Les connaissez-vous ?
Do you like beer?,Est-ce que tu aimes la bière ?
Do you like beer?,Aimez-vous la bière ?
Do you like cats?,Aimes-tu les chats ?
Do you like dogs?,Est-ce que tu aimes les chiens ?
Do you like dogs?,Aimes-tu les chiens ?
Do you like dogs?,Aimez-vous les chiens ?
Do you like fish?,Aimes-tu le poisson ?
Do you like fish?,Vous aimez le poisson?
Do you like mine?,Aimes-tu le mien ?
Do you like mine?,Aimez-vous le mien ?
Do you like mine?,Aimes-tu la mienne ?
Do you like mine?,Aimez-vous la mienne ?
Do you like mine?,Aimes-tu les miennes ?
Do you like mine?,Aimez-vous les miennes ?
Do you like snow?,Aimez-vous la neige ?
Do you like that?,Ça vous plaît ?
Do you like that?,Ça te plaît ?
Do you like that?,Tu aimes ça ?
Do you like this?,Ça vous plaît ?
Do you like this?,Ça te plaît ?
Do you live here?,Vivez-vous ici ?
Do you live here?,Vous habitez ici ?
Do you live here?,Résides-tu ici ?
Do you live here?,Tu vis ici ?
Do you mind much?,T'en soucies-tu beaucoup ?
Do you mind much?,Vous en souciez-vous beaucoup ?
Do you need help?,As-tu besoin d'aide ?
Do you own a gun?,Possèdes-tu une arme à feu ?
Do you own a gun?,Possédez-vous une arme à feu ?
Do you play golf?,Joues-tu au golf ?
Do you play golf?,Jouez-vous au golf ?
Do you trust her?,Lui faites-vous confiance ?
Do you trust her?,Lui fais-tu confiance ?
Do you want kids?,Veux-tu des enfants ?
Do you want kids?,Voulez-vous des enfants ?
Do you want kids?,Voulez-vous avoir des enfants ?
Do you want this?,Le veux-tu ?
Do you want this?,Le voulez-vous ?
Do you want wine?,Voulez-vous du vin ?
Do you want wine?,Veux-tu du vin ?
Do you work here?,Tu travailles ici ?
Do you work here?,Est-ce que vous travaillez ici ?
Do you work here?,Travaillez-vous ici ?
Do you work here?,Travailles-tu ici ?
Do your homework.,Fais tes devoirs.
Does anyone care?,Quiconque s'en soucie-t-il ?
Does anyone care?,Qui que ce soit s'en soucie-t-il ?
Dogs are barking.,Des chiens aboient.
Dogs are barking.,Les chiens aboient.
Don't ask me why.,Ne me demandez pas pourquoi.
Don't be a moron.,Ne sois pas un connard !
Don't be alarmed.,Ne soyez pas alarmé.
Don't be alarmed.,Ne soyez pas alarmée.
Don't be alarmed.,Ne sois pas alarmé.
Don't be alarmed.,Ne sois pas alarmée.
Don't be alarmed.,Ne soyez pas alarmés.
Don't be alarmed.,Ne soyez pas alarmées.
Don't be foolish.,Ne sois pas idiot.
Don't be so lazy.,Ne sois pas si paresseux !
Don't be so lazy.,Ne soyez pas si paresseux !
Don't be so lazy.,Ne soyez pas si paresseuse !
Don't be so lazy.,Ne sois pas si paresseuse !
Don't be so lazy.,Ne soyez pas si paresseuses !
Don't be so slow.,Ne sois pas si lent.
Don't come again.,Ne reviens pas.
Don't deceive me.,Ne me trompe pas.
Don't deceive me.,Ne me trompez pas.
Don't disturb me.,Ne me dérangez pas !
"Don't do it Tom.","Ne fais pas ça Tom."
Don't drink that.,Ne bois pas ça !
Don't drink that.,Ne buvez pas ça !
Don't leave town.,Ne quittez pas la ville !
Don't leave town.,Ne quitte pas la ville.
Don't look at it.,Ne le regarde pas.
Don't look at it.,Ne la regarde pas.
Don't look at me.,Ne me regarde pas !
Don't look at me.,Ne me regardez pas !
Don't look at us.,Ne nous regarde pas.
Don't look at us.,Ne nous regardez pas.
Don't lose heart.,Ne perds pas courage.
Don't lose heart.,Ne perdez pas courage.
Don't make me go.,Ne m'oblige pas à y aller.
Don't make me go.,Ne m'obligez pas à y aller.
Don't make noise.,Ne fais pas de bruit.
Don't mention it.,De rien !
Don't pick it up.,Ne le ramasse pas.
Don't pick it up.,Ne le ramassez pas.
Don't rip me off!,Ne m'arnaque pas !
Don't say a word.,Pas un mot !
Don't talk to me!,Me parle pas !
Don't talk to me!,Ne me parle pas !
Don't talk to me!,Ne me parlez pas !
Don't talk to me!,Ne me parle pas !
Don't talk to me.,Ne me parle pas !
Don't talk to me.,Ne me parlez pas !
Don't touch this!,Ne touche pas à ceci !
Don't touch this!,Ne touchez pas à ceci !
Don't touch this!,Ne touche pas à ça !
Don't touch this!,Ne touchez pas à ça !
Don't touch this!,Pas touche !
Don't yell at me.,Ne me crie pas dessus.
Don't you get it?,Ne le comprends-tu pas ?
Don't you get it?,Ne captes-tu pas ?
Don't you get it?,Ne captez-vous pas ?
Don't you get it?,Ne le comprenez-vous pas ?
Don't you get it?,Ne saisis-tu pas ?
Don't you get it?,Ne saisissez-vous pas ?
Drink more water.,Buvez davantage d'eau !
Drink more water.,Bois davantage d'eau !
Drink some water.,Bois de l'eau !
Drink some water.,Buvez de l'eau !
Drink this juice.,Bois ce jus !
Drink this juice.,Buvez ce jus !
Drinks are on me.,Les boissons sont pour moi.
Drinks are on me.,Les verres sont sur mon compte.
Drinks are on me.,Les verres sont pour moi.
Eat meals slowly.,Mange tes repas lentement.
Eat your spinach.,Mange tes épinards !
Eat your spinach.,Mangez vos épinards !
Eat your veggies.,Mange tes légumes !
Eat your veggies.,Mangez vos légumes !
Enjoy yourselves.,Amusez-vous bien !
Everybody agrees.,Tout le monde est d'accord.
Everybody groans.,Tout le monde râle.
Everybody jumped.,Tout le monde sauta.
Everybody saw it.,Tout le monde l'a vu.
Everybody saw it.,Tout le monde le vit.
Everybody smiled.,Tout le monde a souri.
Everybody smiled.,Tout le monde sourit.
Everybody stayed.,Tout le monde est resté.
Everybody waited.,Tout le monde attendit.
Everybody waited.,Tout le monde a attendu.
Everybody's dead.,Tout le monde est mort.
Everybody's dead.,Tout le monde a cané.
Everybody's dead.,Tout le monde a crevé.
Everybody's here.,Tout le monde est là.
Everybody's home.,Tout le monde est chez lui.
Everybody's safe.,Tout le monde est en sécurité.
Everyone changes.,Tout le monde change.
Everyone cheered.,Tout le monde a applaudi.
Everyone cheered.,Tout le monde applaudit.
Everyone escaped.,Tout le monde s'est échappé.
Everyone escaped.,Tout le monde s'est enfui.
Everyone escaped.,Tout le monde s'est évadé.
Everyone had fun.,Tout le monde s'est amusé.
Everyone is here.,Tout le monde est là.
Everyone laughed.,Tout le monde rit.
Everyone laughed.,Tout le monde a ri.
Everyone noticed.,Tout le monde le remarqua.
Everyone noticed.,Tout le monde l'a remarqué.
Everyone said no.,Tout le monde a dit non.
Everyone's lying.,Tout le monde ment.
Everyone's there.,Tout le monde est là.
Everything is OK.,Tout va bien.
Everything is OK.,Tout est en ordre.
Everything is OK.,Tout est bon.
Evil always wins.,Le mal triomphe toujours.
Explain it to me.,Explique-le-moi.
Explain it to me.,Expliquez-le-moi.
Family is family.,"La famille c'est la famille."
Feed the hamster.,Nourris le hamster.
Feed the hamster.,Nourrissez le hamster.
Fight like a man.,Bats-toi comme un homme.
Fight like a man.,Battez-vous comme un homme.
Follow my advice.,Suis mon conseil.
Follow my advice.,Suivez mon conseil.
Follow the rules.,Suivez les règles !
Follow the rules.,Suis les règles !
Food costs money.,La nourriture coûte de l'argent.
For what purpose?,Dans quel but ?
Forget about her.,Oublie-la.
Forget about her.,Oubliez-la.
Gardening is fun.,Jardiner est amusant.
Get away from me.,Lâche-moi !
Get away from me.,Éloigne-toi de moi !
Get away from me.,Éloignez-vous de moi !
